
Veggie Crisps,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8,Vol9,Vol10,Vol11,Vol12,Vol13,Vol14,Vol15,Vol16
1wk Mar 10 2018,102279,325644,321426,156372,18132,2958,48368,86914,111788,31093,80695,32108,24062,171849,48352,123497,3887
1wk Mar 17 2018,100752,329943,327450,159925,19810,2763,48355,88997,107476,28883,78593,31773,22890,163164,45424,117740,4798
1wk Mar 24 2018,122130,361562,359089,184249,20359,3544,54113,106233,115582,31337,84245,32656,24203,179851,45139,134712,4318
1wk Mar 31 2018,123968,428148,425949,187738,20732,3313,56714,106979,127044,35694,91350,41876,27149,189875,50181,139694,5321
1wk Apr 07 2018,108890,345771,343299,160532,16919,3511,50644,89458,113660,30960,82700,33035,22807,171517,47812,123705,4242
1wk Apr 14 2018,121224,357992,354825,185614,21233,3225,57157,103999,114280,31445,82835,33522,22616,172013,51708,120305,5603
1wk Apr 21 2018,122506,370092,366920,181512,19974,2880,56846,101812,121692,32657,89035,35860,25251,189621,50459,139162,3522
1wk Apr 28 2018,108284,296886,293507,160931,17142,2972,51219,89598,107877,29372,78505,32036,20373,143882,42275,101607,2549
1wk May 05 2018,112108,321668,318488,178787,18651,3604,55572,100960,113335,30541,82794,32650,21908,171695,48916,122779,4119
1wk May 12 2018,122250,353692,350309,201399,19950,3312,62550,115587,111616,29486,82130,33837,22214,171020,50724,120296,5730
1wk May 19 2018,121760,337687,334624,183259,16833,3462,58661,104303,118734,31926,86808,33392,22703,169916,50965,118951,2771
1wk May 26 2018,118127,329531,326532,175949,17280,2545,55933,100191,113505,31311,82194,33930,23170,163892,46945,116947,3638
1wk June 02 2018,125648,343123,340273,180740,19688,3138,56282,101632,119432,32283,87149,33564,22519,179406,53751,125655,3271
1wk June 09 2018,116386,337399,335042,172369,17561,2733,54261,97814,118123,32155,85968,35290,24592,190575,55898,134677,3922
1wk June 16 2018,117300,328541,325327,168406,16352,3025,52726,96303,117894,31550,86344,34541,23699,171940,50472,121468,2918
1wk June 23 2018,118028,342690,340008,176064,16238,2695,56970,100161,117104,32354,84750,37129,25250,168498,49777,118721,4100
1wk June 30 2018,103781,344854,342298,162566,15214,2842,53363,91147,124858,33002,91856,35763,25345,178389,53569,124820,3571
1wk July 07 2018,99094,317570,314386,159821,14985,2937,52155,89744,115047,30798,84249,32677,23274,163699,51154,112545,3909
1wk July 14 2018,101366,310602,306922,156338,15351,3393,49333,88261,117258,30352,86906,31797,22853,164177,48582,115595,3543
1wk July 21 2018,107681,301398,298169,158539,15543,3337,51232,88427,114412,30977,83435,31964,21314,178825,56431,122394,3478
1wk July 28 2018,113127,324094,321580,167609,16553,3458,53559,94039,118149,31619,86530,33858,23192,171574,50333,121241,3815
1wk Aug 04 2018,115399,385839,384073,189900,19469,2753,61576,106102,119234,31479,87755,37956,24182,160155,50312,109843,7040
1wk Aug 11 2018,115020,328460,327290,163166,13127,2304,55514,92221,116513,30664,85849,32988,21563,182383,55542,126841,3960
1wk Aug 18 2018,111918,341821,340930,178474,14743,2404,61431,99896,114301,30243,84058,34875,21973,168235,51799,116436,4044
1wk Aug 25 2018,106868,340852,340186,174051,12782,2041,61717,97511,111287,28992,82295,34230,20016,158481,48624,109857,4801
1wk Sept 01 2018,117027,399094,398806,211597,15025,1936,74213,120423,123953,33646,90307,40269,24883,183820,52256,131564,6290
1wk Sept 08 2018,124483,380959,380566,219229,13497,1819,81980,121933,121562,31360,90202,35734,21543,191407,56760,134647,5186
1wk Sept 15 2018,116175,393718,393270,212270,14029,1599,79578,117064,119082,30685,88397,38372,23244,170504,50542,119962,7175
1wk Sept 22 2018,123169,410646,410234,227138,12792,1503,82610,130233,123172,31613,91559,40684,22546,191898,48953,142945,4422
1wk Sept 29 2018,120114,440623,440304,215479,13174,1396,77163,123746,123923,32026,91897,39030,22161,207051,52578,154473,3672
1wk Oct 06 2018,128926,451171,450861,217152,12171,1156,79421,124404,137502,33836,103666,41556,21218,235922,69529,166393,3599
